,south,north,east,west
2013-03-30,1.1465597635149005,1.1793272013893359,1.164193090106701,1.1618058712347776
2013-03-30,1.3273287750293665,1.4096255862228038,1.4096182703217068,1.3276102468764521
2013-03-31,1.2157629960871994,1.1185453352689985,1.1801039300494756,1.2082569037867175
2013-04-08,1.1390276458210686,1.1506271000775414,1.2166636252248497,1.2343597214184507
2013-04-11,1.6106344772545889,1.6187939889670913,1.5994864212901712,1.6363024563764839
2013-04-14,1.2011288212780389,1.113155957513934,1.106499360143147,1.1611935437400962
2013-04-15,1.292116825362909,1.2601983074610223,1.2994188256269565,1.2449631114831323
2013-04-17,1.5374455629328192,1.5789408161740905,1.5145791875692616,1.5272309194569569
2013-04-21,1.3095661738539672,1.3952801509890644,1.3361729249621355,1.3708669942533525
2013-04-22,1.3352044907778666,1.2786484996455854,1.3504925436787318,1.3337084780402257
2013-04-25,1.419377486543412,1.495234749000834,1.4451505236079025,1.3974352382980915
2013-04-26,1.456536457566748,1.4374472870396406,1.4431546403779967,1.4307302186380457
2013-04-27,1.231332682782218,1.2291850520012872,1.1525623232199014,1.1446677626345654
2013-04-29,1.1226299277042693,1.2138307007208895,1.147733995290515,1.1823890395318966
2013-04-30,1.3625297480646663,1.382223443249926,1.4500836792320682,1.3813819652370027
2013-04-30,1.2105378277881742,1.1679199985338768,1.2395306188042376,1.21324408319388
2013-05-04,1.219044811320755,1.1453267399566798,1.148873919847588,1.238236203773252
2013-05-06,1.3137362360016445,1.2876293975330186,1.3760693421117698,1.325505753305344
2013-05-06,1.3137362360016445,1.2876293975330186,1.2319518843402752,1.325505753305344
2013-05-08,1.5322161401791994,1.547893975595528,1.6291024933940288,1.5368686628266772
2013-05-09,1.2359820866797435,1.2441376752073343,1.1602681038427034,1.220472440944882
2013-05-21,1.3889598773319705,1.3336482767119913,1.3815446255295167,1.4115903712074376
2013-05-24,1.370830120466698,1.3182426736748154,1.3637356337528326,1.308718052328518
2013-05-27,1.273353848607908,1.2536045393941275,1.2806641961424592,1.2847254329533293
2013-05-28,1.3535195289287452,1.3217717185114353,1.4194780394653088,1.3230138611725366
2013-05-28,1.3535195289287452,1.3217717185114353,1.288611052742173,1.3230138611725366
2013-05-28,1.3535195289287452,1.3217717185114353,1.2290502793296092,1.3230138611725366
2013-05-30,2.559911125218219,2.469458987783595,2.561727981116133,2.640012144966739
2013-06-01,1.2128628986707837,1.1299895263586637,1.1039394613843756,1.169535486913464
2013-06-02,1.1872909698996659,1.2756387189636558,1.3573937127030808,1.2658814187400738
2013-06-02,1.1872909698996659,1.2756387189636558,1.1773738174253308,1.1445494794782816
2013-06-02,1.1872909698996659,1.2756387189636558,1.1773738174253308,1.2658814187400738
2013-06-04,1.3525061563520429,1.2775598000358506,1.3370460311215424,1.313140702183035
2013-06-08,1.2049881405879395,1.1714941210209346,1.1816603991900492,1.1855414548026866
2013-06-08,1.3588101799319177,1.338466579292267,1.3517538054268696,1.3401381931012801
2013-06-08,1.6209030262012958,1.5432565168114842,1.592903100019497,1.5389233775712814
2013-06-10,1.1947701731480236,1.2002184506805578,1.109386796409697,1.1415360631148799
2013-06-10,1.695703375300902,1.6183301234847627,1.6866471113378394,1.6010170446075103
2013-06-11,1.2197839876564374,1.1376854295303733,1.2278804016197928,1.243763684578884
2013-06-13,1.4885654423904109,1.472121179217113,1.4674053650495626,1.5530281695807147
2013-06-20,1.45337793779945,1.4871194379391102,1.529743934677533,1.51165447027558
2013-06-26,1.2445197599577131,1.2775540898337745,1.3456375838926176,1.3122997839529165
2013-06-28,1.426538303560491,1.413884519256106,1.3904794428075633,1.3852308848629094
2013-07-04,1.2401614530776994,1.1439075312414906,1.175767825652569,1.2435257735870535
